person1@gmail.com,9
person2@gmail.com,10
person3@gmail.com,12
person4@gmail.com,11
person5@gmail.com,10
person6@gmail.com,10
person7@gmail.com,9
person8@gmail.com,11
person9@gmail.com,12
person10@gmail.com,12
person11@gmail.com,9
person12@gmail.com,9
person13@gmail.com,10
person14@gmail.com,10
person15@gmail.com,9
person16@gmail.com,10
person17@gmail.com,10
person18@gmail.com,9
person19@gmail.com,10
person20@gmail.com,9
person21@gmail.com,11
person22@gmail.com,10
person23@gmail.com,11
person24@gmail.com,12
person25@gmail.com,9
person26@gmail.com,12
person27@gmail.com,10
person28@gmail.com,9
person29@gmail.com,10
person30@gmail.com,9
person31@gmail.com,11
person32@gmail.com,11
person33@gmail.com,11
person34@gmail.com,9
person35@gmail.com,10
person36@gmail.com,10
person37@gmail.com,11
person38@gmail.com,9
person39@gmail.com,10
person40@gmail.com,12
person41@gmail.com,11
person42@gmail.com,9
person43@gmail.com,9
person44@gmail.com,9
person45@gmail.com,10
person46@gmail.com,10
person47@gmail.com,9
person48@gmail.com,9
person49@gmail.com,12
person50@gmail.com,11
person51@gmail.com,12
person52@gmail.com,11
person53@gmail.com,11
person54@gmail.com,12
person55@gmail.com,10
person56@gmail.com,11
person57@gmail.com,11
person58@gmail.com,10
person59@gmail.com,9
person60@gmail.com,11
person61@gmail.com,10
person62@gmail.com,10
person63@gmail.com,11
person64@gmail.com,9
person65@gmail.com,9
person66@gmail.com,12
person67@gmail.com,10
person68@gmail.com,12
person69@gmail.com,12
person70@gmail.com,10
person71@gmail.com,11
person72@gmail.com,9
person73@gmail.com,12
person74@gmail.com,9
person75@gmail.com,9
person76@gmail.com,11
person77@gmail.com,9
person78@gmail.com,10
person79@gmail.com,10
person80@gmail.com,10
